Feature,Importance
TotalDelinquencies,0.5651083345471715
RevolvingUtilizationOfUnsecuredLines,0.14731286661170395
NumberOfTimes90DaysLate,0.05717419031773979
age,0.030029327949743344
HasSevereDelinquency,0.029469759044750472
UtilizationPerCreditLine,0.027858761119780286
DebtRatio,0.02301069156260171
IncomeToDebtRatio,0.02055813832042956
MonthlyIncome,0.020192130877396273
DebtToIncomeRatio,0.018711455911863777
NumberOfTime30-59DaysPastDueNotWorse,0.015130450073213191
NumberRealEstateLoansOrLines,0.012458141313352062
NumberOfTime60-89DaysPastDueNotWorse,0.011778997050278772
NumberOfOpenCreditLinesAndLoans,0.010807224633177863
NumberOfDependents,0.007777423044531715
HasRealEstate,0.0011350823341959946
AgeGroup,0.0006698141906761972
UtilizationBucket,0.0003853790480492565
NumberOfDependents_Missing,0.0003754537274547133
MonthlyIncome_Missing,5.637832188943129e-05
